accession,name,description,Study Disease/Focus,Study Design,Study Markerset,Parent study,Study Molecular Data Type,Study Content,Ancestry (computed),NIH Institute,Study Consent,Release Date,Embargo Release Date,Related Terms
"phs000198.v1.p1","Sporadic Amyotrophic Lateral Sclerosis Study","Genomewide association study of risk for sporadic amyotrophic lateral sclerosis (ALS) and ALS patient phenotype. Genotypes were analyzed for 288,357 markers in 1,821 sporadic ALS patients and 2,258 controls.  DNA from study participants were obtained from one of three centres in the US (Boston, Atlanta, National Institute of Neurological Disorders and","Amyotrophic Lateral Sclerosis","Case-Control","Not Provided","Not Applicable","Not Provided","","","NINDS","","","","ALS; ALS (Amyotrophic Lateral Sclerosis); ALS - Amyotrophic lateral sclerosis; Amytrophic lateral sclerosis; Bulbar motor neuron disease; Charcot Disease"
"phs000199.v1.p1","CHOP Control CNV Study","We present a database of copy number variations (CNVs) detected in 2,026 disease-free individuals, using high-density, SNP-based oligonucleotide microarrays. This large cohort analyzed for CNVs in a single study  using a uniform array platform and computational tools, comprises mainly of Caucasians (65.2%) and African-Americans (34.2%), We have catalogued and","Normalcy","Case-Control","HumanHap550_v1","Not Applicable","SNP Genotypes (Array)","4 phenotype datasets, 19 variables, 1 molecular datasets, 2026 subjects, 2026 samples","","NIGMS","GRU --- General research use","2009-10-27","2009-10-27","Normalcies; Normalities"
"phs000201.v2.p1","Acquired Copy Number Alterations in Adult Acute Myeloid Leukemia Genomes","We performed genome-wide copy number analysis with paired normal and tumor DNA obtained from 86 adult patients with de novo AML using the Affymetrix Genome-Wide Human SNP array 6.0  containing 1.85 million features. Acquired copy number alterations (CNA) were confirmed using an independent, higher resolution, custom array","Leukemia, Myeloid, Acute","Tumor vs. Matched-Normal","Genome-Wide_Human_SNP_Array_6.0","Not Applicable","SNP Genotypes (Array)","3 phenotype datasets, 47 variables, 1 molecular datasets, 86 subjects, 172 samples","","NCI","DS-HEM-MDS-GSO --- Disease-specific (hematologic disease, mds, gso)","2014-04-17","2010-01-12","AML; AML - Acute Myeloid Leukemia; AML - Acute myeloblastic leukemia; AML adult; AML, NOS; AMegL"
"phs000202.v1.p1","OMRF SLEGEN GWAS Data from European-American Women with Lupus","""Systemic lupus erythematosus (SLE) is a common systemic autoimmune disease with complex etiology but strong clustering in families (lambda(S) approximately 30). We performed a genome-wide association scan using 317,501  SNPs in 720 women of European ancestry with SLE and in 2,337 controls, and we genotyped consistently associated SNPs in two additional independent","Lupus Erythematosus, Systemic","Case-Control","HumanHap300v1-1_C","Not Applicable","SNP Genotypes (Array)","3 phenotype datasets, 14 variables, 1 analyses, 1 molecular datasets, 297 subjects, 297 samples","European (294), Hispanic2 (3)","NIAMS","LRR --- Lupus related research","2010-03-24","2011-03-24","DNASE1-Related Susceptibility to Systemic Lupus Erythematosus; Disseminated lupus erythematosus; Lupus Erythematosus Disseminatus; SLE; SLE - Lupus Erythematosus, Systemic; SLE - Systemic lupus erythematosus"
"phs000203.v1.p1","A Genome-Wide Association Study of Peripheral Arterial Disease","The Electronic Medical Record Phenotypes and Community-engaged Genomic Association Study aims to identify genetic variants mediating susceptibility to peripheral arterial disease (PAD). The study leverages a biorepository of blood  samples of 1688 PAD cases and 1649 controls, and the electronic medical record (EMR) to annotate the biorepository. PAD cases were identified from","Peripheral Vascular Diseases","Case-Control","Human660W-Quad_v1_A","Not Applicable","SNP Genotypes (Array)","4 phenotype datasets, 44 variables, 3 documents, 1 molecular datasets, 3337 subjects, 3432 samples","European (3298), African (2), East Asian (2), African American (14), Hispanic1 (1), Hispanic2 (13), South Asian (6), Other (1)","NHGRI","HR_MYO --- Health research - mayo clinic","2010-11-05","2011-11-05","Angiopathies, Peripheral; Angiopathy, Peripheral; Diseases, Peripheral Vascular; PVD-peripheral vascular disease; Peripheral Angiopathies; Peripheral Angiopathy"
"phs000204.v1.p1","Genetic Analysis of Limb Malformation Disorders: Freeman Sheldon Syndrome    Exome Sequencing Study (LMD-FSS)","The overall goal of this project is to investigate the etiology and pathogenesis of malformations (i.e., birth defects) of the limb, concentrating on abnormalities of limb patterning such as  limb deficiency/duplications and multiple congenital contractures. The exome sequences of four unrelated individuals were obtained by massively","Freeman-Sheldon Syndrome","Mendelian","Not Provided","Not Applicable","WXS","2 phenotype datasets, 9 variables,  SRA, 3 subjects, 3 samples","","NHLBI","GRU --- Freeman sheldon syndrome exome - general research use","2010-08-19","2010-08-19","AMC; AMC - Arthrogryposis multiplex congenita; Amyoplasia Congenita; Arthrogryposes; Arthrogryposes, Congenital Multiple; Arthrogryposis"
"phs000205.v6.p2","International Standards for Cytogenomic Arrays","The International Standards for Cytogenomic Arrays (ISCA) Consortium is a rapidly growing group of clinical cytogenetics and molecular genetics laboratories committed to improving quality of patient care related to  clinical genetic testing using new molecular cytogenetic technologies including array comparative genomic hybridization (aCGH) and quantitative SNP","Developmental Disabilities","Case Set","Cytogenetic_Arrays","Not Applicable","CNV Genotypes","4 phenotype datasets, 18 variables, 4 molecular datasets, 53936 subjects, 49013 samples","","NICHD","GRU --- General research use","2016-06-20","2017-06-20","AUTISTIC DISORDER; AUTS; Autism; Autism (209850); Autism disorder; Autism, Early Infantile"
"phs000206.v5.p3","Pancreatic Cancer Cohort and Case-Control Consortium (PanScan)","Within the framework of the NCI-sponsored Cohort Consortium, investigators from 12 prospective epidemiologic cohorts formed the Pancreatic Cancer Cohort Consortium in 2006. This study, also known as ""PanScan"", is  funded by the National Cancer Institute (NCI) and involves conducting a genome-wide association study (GWAS) of common genetic variants to identify","Pancreatic Neoplasms","Case-Control","Human610-Quadv1_B, HumanHap550_v3, HumanOmniExpress-12v1_A","Not Applicable","SNP Genotypes (Array)","4 phenotype datasets, 17 variables, 1 documents, 2 analyses, 2 molecular datasets, 9437 subjects, 9702 samples","European (8770), African (5), East Asian (320), African American (161), Hispanic1 (33), Hispanic2 (92), Other Asian or Pacific Islander (31), South Asian (14), Other (11)","NCI","CADM --- Cancer in all age groups, other diseases in adults only, and methods , DS-PACA-GSO --- Disease-specific (pancreatic cancer, gso) , O-DS-PACA-IRB-COL-GSO --- Disease-specific (pancreatic cancer, irb, col, gso) , GRU --- General research use , HMB-PUB-NPU-MDS-GSO --- Health/medical/biomedical (pub, npu, mds, gso)","2015-09-25","2015-09-25","Neoplasm of Pancreas; Neoplasm of the Pancreas; Neoplasm, Pancreas; Neoplasm, Pancreatic; Neoplasms, Pancreas; Neoplasms, Pancreatic"
"phs000207.v1.p1","CGEMS Prostate Cancer GWAS - Stage 1 - PLCO","The Cancer Genetic Markers of Susceptibility (CGEMS) prostate cancer genome-wide association study (GWAS) included genotyping approximately 550,000 SNPs (Phase 1A with HumanHap300 and Phase 1B HumanHap240, both from Illumina,  San Diego, CA) in 1,172 prostate cancer patients and 1,157 controls of European ancestry from the Prostate, Lung, Colon and Ovarian (PLCO, http","Prostatic Neoplasms","Case-Control","HumanHap240S_A","Not Applicable","SNP Genotypes (Array)","3 phenotype datasets, 10 variables, 2 analyses, 1 molecular datasets, 2252 subjects, 2300 samples","European (2251), Hispanic1 (1)","NCI","CADM --- Research related to adult diseases and methods","2009-12-22","2009-12-22","NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic; Neoplasms, Prostate"
"phs000210.v1.p1","PGRN-RIKEN MA.27 Mayo Aromatase Inhibitor Musculoskeletal Adverse Events    Study","Source of Patients The source of the patients for this genome-wide case control study was MA.27, which was conducted as a multi-cooperative group effort under the auspices of the  NCI Breast Cancer Intergroup of North America. The NCIC Clinical Trials Group (CTG) serves as the coordinating group, with participation by the NCI","Breast Neoplasms","Case-Control","Human610-Quadv1_B","Not Applicable","SNP Genotypes (Array)","4 phenotype datasets, 27 variables, 1 documents, 1 molecular datasets, 879 subjects, 878 samples","","NIGMS","HR --- Health research","2009-10-14","2010-10-14","BARD1-Related Susceptibility to Breast Cancer; Breast Cancer; Breast Malignant Neoplasm; Breast Malignant Neoplasms; Breast Malignant Tumor; Breast Malignant Tumors"
"phs000211.v1.p1","Genotyping 400 Samples from the NIGMS Human Variation Panels","The Human Genetic Cell Repository is sponsored by the National Institute of General Medical Sciences (NIGMS) with the mission of supplying scientists with the materials for accelerating disease gene  discovery and functional studies. The resources available include highly-characterized, contaminant-free cell cultures and high quality, well","Normalcy","Case-Control","Genome-Wide_Human_SNP_Array_6.0","Not Applicable","SNP Genotypes (Array)","3 phenotype datasets, 11 variables, 1 molecular datasets, 400 subjects, 400 samples","African American (387), Hispanic1 (12), Other (1)","NIGMS","GRU --- General research use","2009-11-10","2009-11-10","Normalcies; Normalities"
"phs000215.v2.p1","Genome-Wide Association Analysis of Biomarkers in the InCHIANTI and BLSA","Version 1 The aim of this study was to identify gene(s) associated with serum iron concentrations. This dataset contains the results from a meta-analysis of 1919 subjects from the  InCHIANTI and Baltimore Longitudinal Study of Aging (BLSA). Both studies are population based prospective studies that evaluate the contributors of","Nutritional and Metabolic Diseases","Prospective Longitudinal Cohort","Not Provided","Not Applicable","Not Provided","2 phenotype datasets, 23 variables, 94 analyses","","NIA","GRU --- General research use","2013-09-27","2010-02-05",""
"phs000216.v1.p1","International Consortium on the Genetics of Systemic Lupus Erythematosus    (SLEGEN)","The genetic makeup of an individual strongly influences the risk of developing systemic lupus erythematosus (SLE). The identification of genes that predispose an individual to SLE will lead to  earlier and better diagnosis, better treatments, and possibly prevention. To this end, the International Consortium on the Genetics of Systemic Lupus","Lupus Erythematosus, Systemic","Case-Control","Not Provided","Not Applicable","Not Provided","1 analyses","","NIAMS","GRU --- General research use","2010-03-25","2010-03-25",""
"phs000217.v2.p1","Genome-Wide Association Study of Leprosy and Dapsone Hypersensitivity    Syndrome (DHS)","Leprosy GWAS Leprosy is a chronic infectious disease caused by Mycobacterium leprae (M. leprae). Due to M. leprae's narrow host range and an inability to be cultured in vitro,  the biological investigation of this disease has been difficult. Host genetic factors have been suggested to play an important role in disease","Leprosy","Case-Control","Not Provided","Not Applicable","Not Provided","2 analyses, 1220 subjects","","NIAID","LSO --- Leprosy studies only","2013-11-05","","4,4' Diaminophenyl Sulfone; 4,4'-Diaminophenyl Sulfone; 4,4'-Sulfonylbisbenzamine; 4,4'-Sulfonyldianiline; Bis(4-aminophenyl)sulfone; Croysulfone"
"phs000219.v1.p1","GenADA/LONG/Imaging (Genetic Alzheimer's Disease Associations)","GenADA is a multi-site collaborative study, involving GlaxoSmithKline Inc and nine medical centres in Canada, to develop a dataset containing 1000 Alzheimer's disease patients and 1000 ethnically-matched controls in  order to associate DNA sequence (allelic) variations in candidate genes with Alzheimer's disease phenotypes. The study consists of both retrospective","Alzheimer Disease","Case-Control","Genome-Wide_Human_SNP_Array_5.0","Not Applicable","SNP Genotypes (Array)","59 phenotype datasets, 1558 variables, 10 documents, 1 analyses, 1 molecular datasets, 1718 subjects, 1588 samples","European (1586), Hispanic2 (2)","NIMH","GBA --- Genetic basis of alzheimer's","2010-01-21","2010-07-21","AD; AD - Alzheimer's disease; ALZHEIMER DISEASE, FAMILIAL, 1, AUTOSOMAL RECESSIVE; Alzheimer Dementia; Alzheimer Dementias; Alzheimer Sclerosis"
"phs000220.v2.p2","PAGE: Multiethnic Cohort (MEC)","The Multiethnic Cohort (MEC) has established a large biorepository of blood and urine (N 67,000) and cryopreserved lymphocytes (N 15,000) linked to extensive, prospectively collected risk factors (e.g., diet,  smoking, physical activity), biomarkers and clinical data for five racial/ethnic groups. This cohort study of over 215,000 men and women in Hawaii","Neoplasms","Case-Control","Cardio-Metabo_Chip, MEGA_Consortium_15063755_B2","Not Applicable","SNP Genotypes (Array), WGS","4 phenotype datasets, 68 variables, 1 analyses, 4 molecular datasets, 27995 subjects, 37714 samples","European (105), African (129), East Asian (3648), African American (4958), Hispanic1 (200), Hispanic2 (55), Other Asian or Pacific Islander (2973), South Asian (1), Other (709)","NHGRI","DS-CRM-PUB-MDS --- Disease-specific (cancer research and methods, pub, mds) , GRU --- General research use","2018-06-27","2018-06-27","Cholesterol, HDL2; HDL cholesterol 2; HDL(2) Cholesterol; HDL2 Cholesterol; High density lipoprotein cholesterol subfraction 2; High density lipoprotein cholesterol, sub-fraction II"
"phs000221.v1.p1","NHLBI Family Heart Study (FamHS)","The Family Heart Study (FamHS) was funded by the National Heart, Lung, and Blood Institute (NHLBI). It was begun in 1992 with the ascertainment of 1,200 families, half randomly  sampled, and half selected because of an excess of coronary heart disease (CHD) or risk factor abnormalities as compared with age- and sex-specific","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Not Applicable","Not Provided","99 analyses","","NHLBI","GRU --- General research use","2011-06-21","","Atherogenesis; CHD - Coronary heart disease; Coronary Disease; Coronary Diseases; Coronary Heart Disease; Coronary Heart Diseases"
"phs000222.v5.p2","PREDICT-HD Huntington Disease Study","The purpose of this project is to make clinical measurements from the PREDICT-HD consortium available through the dbGaP mechanism. The phenotype data will first be converted into a community  open standard and subsequently exported to dbGaP for archival and open access distribution of the results of the studies. This will permit members of","Huntington Disease","Prospective Longitudinal Cohort","Not Provided","Not Applicable","Not Provided","15 phenotype datasets, 787 variables, 8 documents, 1476 subjects","","NINDS","GRU --- General research use","2017-09-25","2017-11-16","Chorea, Chronic Progressive Hereditary (Huntington); Chorea, Huntington; Chorea, Huntington's; Chronic Progressive Hereditary Chorea (Huntington); Chronic progressive chorea; Chronic progressive hereditary chorea"
"phs000224.v3.p2","VitGene Generalized Vitiligo Genetics Study","Generalized vitiligo is an autoimmune disease in which melanocyte loss results in patchy depigmentation of skin and hair. For this third GWAS of generalized vitiligo, SNPs were genotyped in  1,059 generalized vitiligo cases of European-derived white (EUR) ancestry using the Illumina Human OmniExpress BeadChip array. The data were combined","Vitiligo","Case-Control","Not Provided","Not Applicable","SNP Genotypes (Array)","2857 subjects, 2938 samples","European (1769), Hispanic1 (1), Hispanic2 (2), South Asian (1), Other (3)","NIAMS","","","","Not Provided"
"phs000225.v1.p1","Expression QTL (eQTL) Analysis in Human Primary Cells","The common genetic variants associated with complex traits typically lie in non-coding DNA and may alter gene regulation in a cell type-specific manner. Consequently, the choice of tissue or  cell model in the dissection of disease associations is important. We carried out an expression quantitative trait loci (eQTL) study of primary human","Osteoporosis","Case-Control","Not Provided","Not Applicable","Not Provided","","","NIAMS","GRU --- General research use","2010-10-01","2010-10-01","Bone Densities; Bone Mineral Densities; Bone Mineral Density; Density, Bone; Density, Bone Mineral; Age Related Osteoporosis"
"phs000228.v4.p1","HMP Core Microbiome Sampling Protocol A (HMP-A)","This first clinical study of the Human Microbiome Project (HMP) addresses whether individuals share a core human microbiome. It involves broad determination of the microbiota found in five anatomical  sites: the oral cavity, skin, nasal cavity, gastrointestinal tract and vagina. This study will enroll approximately 300 healthy male and female","Metagenomics","Control Set","target_markerset_grc37","Not Applicable","SNP Genotypes (NGS)","7 phenotype datasets, 269 variables, 35 documents, 1 molecular datasets,  SRA, 300 subjects, 55762 samples","European (214), East Asian (14), African American (20), Hispanic1 (5), Hispanic2 (26), Other Asian or Pacific Islander (5), South Asian (13), Other (1)","NHGRI","HMP --- Human microbiome research","2018-02-08","2018-02-08","Community Genomic; Community Genomics; Environmental Genomic; Environmental Genomics; Genomic, Community; Genomic, Environmental"
"phs000233.v1.p1","Genome Wide Association Study of Asthma","This data forms part of an ongoing genome wide association study into the genetic variants that predispose to pediatric asthma at the Children's Hospital of Philadelphia (CHOP). All cases  and controls were recruited at CHOP and genotyped at the Center for Applied Genomics (CAG). The data set includes 793 cases and 1988 controls. The","Asthma","Case-Control","Not Provided","Not Applicable","Not Provided","1 analyses","","NHLBI","DS-AS-AT --- Disease-specific (asthma and atopy)","2019-09-12","2019-09-12","Airway hyperreactivity; Asthma, Bronchial; Asthmas; Asthmatic; Bronchial Asthma; Reactive airway disease"
"phs000234.v2.p2","Group Health/UW Aging and Dementia eMERGE Study","The ""Development and Use of Network Infrastructure for High-Throughput GWA Studies"" project is collaboration between Group Health Cooperative (GH), the University of Washington (UW), and the Fred Hutchinson Cancer  Research Center (FHCRC). It is one of 5 sites participating in The Electronic Medical Records and Genomics (eMERGE) Network funded by the National","Dementia","Case-Control","Human660W-Quad_v1_A","Not Applicable","SNP Genotypes (Array)","5 phenotype datasets, 43 variables, 12 documents, 1 molecular datasets, 3756 subjects, 3746 samples","European (3498), African (5), East Asian (68), African American (128), Hispanic1 (10), Hispanic2 (18), Other Asian or Pacific Islander (13), South Asian (2), Other (4)","NHGRI","HR_MC --- Health research - marshfield clinic , HR_VU --- Health research - vanderbilt u , HR_GHS --- Health research - group health seattle , AGING_GHS --- Dementia or aging - group health seattle , HR_MYO --- Health research - mayo clinic","2018-05-30","2018-05-30","Age Factor; Age Factors; Factor, Age; Factors, Age; Advanced age; Aged"
"phs000237.v1.p1","Northwestern NUgene Project: Type 2 Diabetes","The ability to correlate genetic variation with disease susceptibility and response to drug therapy depends on genotype or sequence analysis of large numbers of richly characterized DNA samples. Eight  years agoWe are a part of NHGRI's electronic Medical Records and Genomics (eMERGE) Network, whose goal is to conduct genome-wide association studies","Diabetes Mellitus, Type 2","Case-Control","Human660W-Quad_v1_A, Human1M-Duov3_B","Not Applicable","SNP Genotypes (Array)","4 phenotype datasets, 41 variables, 3 documents, 2 molecular datasets, 3563 subjects, 3539 samples","European (1738), African (35), East Asian (3), African American (1586), Hispanic1 (25), Hispanic2 (27), Other Asian or Pacific Islander (8), South Asian (1), Other (14)","NHGRI","HR_VU --- Health research - vanderbilt u , HR_NWU --- Health research - northwestern u","2011-04-22","2012-04-22","Adult-Onset Diabetes; Adult-Onset Diabetes Mellitus; DIABETES MELLITUS, TYPE 2; DIABETES MELLITUS, TYPE 2, PROTECTION AGAINST; DIABETES MELLITUS, TYPE II; DIABETES MELLITUS, TYPE II, SUSCEPTIBILITY TO"
"phs000238.v1.p1","NEIGHBOR Consortium Glaucoma GWAS","This is a case-control study of primary open angle glaucoma (POAG). POAG is an intraocular pressure (IOP) related progressive optic neuropathy that ultimately leads to blindness. For this study  we have formed a collaborative consortium contributing 2170 POAG cases and 2347 controls with a unified definition of POAG (the NEIGHBOR consortium","Glaucoma","Case-Control","Human660W-Quad_v1_C","Not Applicable","SNP Genotypes (Array)","3 phenotype datasets, 46 variables, 1 molecular datasets, 5073 subjects, 5416 samples","European (4591), African (10), East Asian (4), African American (72), Hispanic1 (46), Hispanic2 (304), Other Asian or Pacific Islander (4), South Asian (9), Other (33)","NEI","GRU --- General research use , DS-ED --- Disease-specific (eye disease)","2013-11-20","2014-08-20",""
"phs000239.v2.p1","Genome, Epigenome and RNA Sequences of MZ Twins Discordant for MS","Monozygotic (MZ) twins have been widely employed for dissection of the relative contributions of genetics and environment in disease. In multiple sclerosis (MS), an autoimmune demyelinating disease that commonly  causes neurodegeneration and disability in young adults, disease discordance in MZ twins has been interpreted to indicate environmental importance in","Multiple Sclerosis","Family/Twin/Trios","Not Provided","Not Applicable","Bisulfite-Seq, FL-cDNA, WGS","5 phenotype datasets, 17 variables,  SRA, 6 subjects, 16 samples","","NINDS","GRU --- General research use","2010-07-27","2011-05-19","BARD1-Related Susceptibility to Breast Cancer; Breast Cancer; Breast Malignant Neoplasm; Breast Malignant Neoplasms; Breast Malignant Tumor; Breast Malignant Tumors"
"phs000240.v1.p1","NEI Ocular Hypertension Treatment Study (OHTS)","The Ocular Hypertension Treatment Study (OHTS) is an National Eye Institute-sponsored multi-center, randomized, prospective treatment trial designed to determine whether lowering intraocular pressure (IOP) in individuals with ocular hypertension  delays or prevents the development of primary open angle glaucoma (POAG). A total of 1,636 individuals with ocular hypertension between 40 and 80","Glaucoma, Open-Angle","Case-Control","HumanOmni1-Quad_v1-0_B","Not Applicable","SNP Genotypes (Array)","3 phenotype datasets, 20 variables, 4 documents, 1 molecular datasets, 1063 subjects, 1131 samples","European (756), African (9), East Asian (7), African American (242), Hispanic1 (14), Hispanic2 (17), Other Asian or Pacific Islander (2), South Asian (2), Other (8)","NEI","GRC --- Glaucoma and related conditions","2011-08-03","2012-08-03","Compensated Glaucoma; Compensative Glaucoma; Glaucoma Simplex; Glaucoma, Compensated; Glaucoma, Compensative; Glaucoma, Open Angle"
"phs000244.v1.p1","Genetic Analysis of Limb Malformation Disorders: Miller Syndrome    Sequencing Study (LMD-MS)","The overall goal of this project is to investigate the etiology and pathogenesis of malformations (i.e., birth defects) of the limb, concentrating on abnormalities of limb patterning such as  limb deficiency/duplications and multiple congenital contractures. The exome sequences of two siblings and two unrelated individuals were obtained by","Genee-Wiedemann Syndrome","Mendelian","Not Provided","Not Applicable","Not Provided","3 phenotype datasets, 14 variables,  SRA, 6 subjects, 8 samples","","NHLBI","GRU --- Miller syndrome exome - general research use","2010-08-19","2010-08-19","Ciliary Dyskinesia; Ciliary Dyskinesias; Ciliary Motility Disorder; Disorder, Ciliary Motility; Dyskinesia, Ciliary; Dysmotile cilia syndrome"
"phs000245.v1.p1","Whole Genome Sequencing of Triple Negative Breast Cancer","Breast Cancer Subject Participant ID 700064 (Source Sample names: 6888 and 206). We used massively parallel DNA sequencing technologies to screen entire genomes, in an unbiased manner, for genetic  changes associated with tumor growth and metastasis. We describe the complete genome sequence analysis of four DNA samples from a 44-year old African","Breast Neoplasms","Tumor vs. Matched-Normal","Not Provided","Not Applicable","WGS","4 phenotype datasets, 21 variables,  SRA, 1 subjects, 4 samples","","NHGRI","CR --- Cancer research","2010-10-08","2010-10-08","BARD1-Related Susceptibility to Breast Cancer; Breast Cancer; Breast Malignant Neoplasm; Breast Malignant Neoplasms; Breast Malignant Tumor; Breast Malignant Tumors"
"phs000247.v5.p3","The Neonatal Microbiome and NEC","The Neonatal Microbiome and Necrotizing enterocolitis (NEC) study is a multi-centered case control study testing the hypothesis that NEC is a direct or indirect consequence of the enteric biomass,  its products, or both. Very low birth weight infants (VLBW; birth weight 1500 grams) admitted to the neonatal intensive care unit are prospectively","Enterocolitis, Necrotizing","Case-Control","Not Provided","Not Applicable","AMPLICON, WGS","7 phenotype datasets, 67 variables, 3 documents,  SRA, 1962 subjects, 3882 samples","","NIAID","HMP --- Human microbiome research","2017-08-01","2015-04-25","Disorder, Functional Gastrointestinal; Disorders, Functional Gastrointestinal; Functional Gastrointestinal Disorder; Functional Gastrointestinal Disorders; Gastrointestinal Disorder, Functional; Gastrointestinal Disorders, Functional"
"phs000248.v1.p1","Genetic Determinants of Viral Clearance in HCV-Infected Populations","The World Health Organization estimates there are 170 million persons with HCV infection worldwide, and an estimated 4 million persons are infected in the United States. Persistent HCV infection  can cause cirrhosis and hepatocellular cancer. Long term disease consequences do not occur in persons who spontaneously recover. It is not known why","Hepatitis C","Case-Control","HumanOmni1-Quad_v1-0_H","Not Applicable","SNP Genotypes (Array)","4 phenotype datasets, 18 variables, 1 molecular datasets, 3434 subjects, 3636 samples","European (2544), African (16), East Asian (12), African American (542), Hispanic1 (124), Hispanic2 (136), Other Asian or Pacific Islander (9), South Asian (17), Other (34)","NIDA","GRU-IRB --- General research use (irb)","2014-02-13","2015-02-13","HCV Infection; Hepatitis C Virus Infection; Hepatitis, Viral, Non-A, Non-B, Parenterally-Transmitted; PT-NANBH; Parenterally Transmitted Non A, Non B Hepatitis; Parenterally-Transmitted Non-A, Non-B Hepatitis"
"phs000250.v1.p1","CALGB 80303: Genome-Wide Association Study of Advanced Pancreatic Cancer    Patients","CALGB 80303 was a randomized, phase III study in advanced pancreatic cancer patients treated with Gemcitabine plus either Bevacizumab or placebo. No difference in overall survival (OS) was observed  between the two arms. We prospectively collected germline DNA and conducted a genome-wide association study (GWAS).","Pancreatic Neoplasms","Case-Control","HumanHap550_v3","Not Applicable","SNP Genotypes (Array)","3 phenotype datasets, 32 variables, 1 molecular datasets, 351 subjects, 351 samples","European (307), African (1), East Asian (4), African American (27), Hispanic1 (3), Hispanic2 (6), Other Asian or Pacific Islander (1), South Asian (1), Other (1)","NIGMS","APTC --- For use in future research to learn about, prevent or treat cancer","2011-07-08","2012-07-08","Neoplasm of Pancreas; Neoplasm of the Pancreas; Neoplasm, Pancreas; Neoplasm, Pancreatic; Neoplasms, Pancreas; Neoplasms, Pancreatic"
"phs000251.v2.p2","Cutaneous Microbiome in Psoriasis (HMP Demonstration Study)","Psoriasis, a highly prevalent disease of humans of unknown cause, is a chronic inflammatory disorder primarily involving skin, with distinctive clinical characteristics. With the newly developed tools that facilitate  microbiome research, it now is possible to assess whether the cutaneous microbiome plays a role in the pathogenesis of this disorder. Preliminary","Psoriasis","Metagenomics","Not Provided","Not Applicable","AMPLICON","4 phenotype datasets, 27 variables,  SRA, 93 subjects, 236 samples","","NIAMS","HMP --- Human microbiome research","2014-03-04","2011-06-16","Acropustulosis; Chronic palmoplantar pustular psoriasis; LPP; Localized pustular psoriasis; PPP; PPP - Palmoplantar pustulosis"
"phs000254.v2.p1","NHLBI GO-ESP: Lung Cohorts Exome Sequencing Project (Cystic Fibrosis)","The major goal of this project is to apply second generation resequencing technology to identify disease causing variants influencing pediatric and adult lung diseases in a collection of two  longitudinal population cohorts of cystic fibrosis patients that have been well characterized for a comprehensive set of clinical traits. In Phase I","Cystic Fibrosis","Prospective Longitudinal Cohort","exome_vcf_grc37, exome_vcf_ESP6800","Not Applicable","SNP Genotypes (NGS), WXS","5 phenotype datasets, 28 variables, 3 molecular datasets,  SRA, 431 subjects, 431 samples","","NHLBI","DS --- Disease specific (cystic fibrosis and genetic variation discovery research related to cystic fibrosis) , GRU --- General research use","2012-10-24","2014-12-26","CF; CF - Cystic fibrosis; Fibrocystic disease; Fibrosis, Cystic; MUCOVISCIDOSIS"
"phs000255.v1.p1","Effect of Crohn's Disease Risk Alleles on Enteric Microbiota","This UH2/UH3 demonstration project entitled ""Effects of Crohn's disease risk alleles on enteric microbiota"" is focused on characterizing intestinal associated microbiota in patients with ileal Crohn's disease (ileal CD),  ulcerative colitis (UC) and control patients without inflammatory bowel diseases (non-IBD). We hypothesize that genetic factors that affect Paneth","Crohn Disease","Metagenomics","Not Provided","Not Applicable","AMPLICON","6 phenotype datasets, 23 variables,  SRA, 228 subjects, 293 samples","","NIDDK","HMP --- Human microbiome research , BSDO --- Bacterial sequence data only","2010-06-08","2011-06-08","Colitis Gravis; Colitis ulcerosa; Colitis, Ulcerative; Idiopathic Proctocolitis; Inflammatory Bowel Disease, Ulcerative Colitis Type; UC - Ulcerative colitis"
"phs000256.v3.p2","The Vaginal Microbiome: Disease, Genetics and the Environment","The vagina is an interactive interface with the environment, and as such is covered by a protective epithelial surface. This surface is colonized by bacteria and other microorganisms which,  through a variety of mechanisms serve to further protect the host from invasion by pathogens. Alterations in the normal vaginal microflora","Microbiomes, Human","Metagenomics","Not Provided","Not Applicable","Not Provided","4 phenotype datasets, 98 variables,  SRA, 3474 subjects, 28230 samples","","NIAID","HMP --- Human microbiome research","2013-08-01","2012-07-08","Metagenome; Metagenomes"
"phs000257.v3.p1","Human Gut Microbiome in Crohn's Disease","Inflammatory bowel diseases (IBD), such as Crohn's disease, are chronic, immunologically mediated disorders that have severe medical consequences. The current hypothesis is that these diseases are due to an  overly aggressive immune response to a subset of commensal enteric bacteria. Studies to date on IBD have suggested that the disorder may be caused by","Crohn Disease","Family/Twin/Trios","Not Provided","Not Applicable","AMPLICON, WGS","5 phenotype datasets, 30 variables, 4 documents,  SRA, 69 subjects, 168 samples","","NIDDK","HMP --- Microbiome","2018-09-25","2018-09-25","CD - Crohn's disease; CROHN DISEASE; Crohn's Disease; Crohn's Enteritis; Crohn's regional enteritis; Crohns Disease"
